,,,,,,,,,
Tag,,First weight date,,,,First Weight,,,Latest Weight Date
UK702881704186,,08/10/2025,,,,522.00,,,08/10/2025
UK702881704207,,08/10/2025,,,,552.00,,,08/10/2025
UK702881704333,,08/10/2025,,,,562.00,,,08/10/2025
UK702881704375,,08/10/2025,,,,534.00,,,08/10/2025
UK702881704382,,08/10/2025,,,,584.00,,,08/10/2025
UK702881704403,,08/10/2025,,,,506.00,,,08/10/2025
UK702881704417,,08/10/2025,,,,624.00,,,08/10/2025
UK702881704431,,08/10/2025,,,,606.00,,,08/10/2025
UK702881704522,,08/10/2025,,,,606.00,,,08/10/2025
UK702881704690,,08/10/2025,,,,528.00,,,08/10/2025
UK702881704739,,08/10/2025,,,,610.00,,,08/10/2025
UK702881704816,,08/10/2025,,,,560.00,,,08/10/2025
UK702881704830,,08/10/2025,,,,536.00,,,08/10/2025
UK702881704886,,08/10/2025,,,,578.00,,,08/10/2025
UK702881704907,,08/10/2025,,,,552.00,,,08/10/2025
UK702881704970,,08/10/2025,,,,558.00,,,08/10/2025
UK702881704984,,08/10/2025,,,,544.00,,,08/10/2025
UK702881705047,,08/10/2025,,,,602.00,,,08/10/2025
UK702881705236,,08/10/2025,,,,504.00,,,08/10/2025
UK702881705257,,08/10/2025,,,,508.00,,,08/10/2025
UK702881705299,,08/10/2025,,,,512.00,,,08/10/2025
UK702881705306,,08/10/2025,,,,520.00,,,08/10/2025
UK702881705313,,08/10/2025,,,,514.00,,,08/10/2025
UK702881705355,,08/10/2025,,,,522.00,,,08/10/2025
UK702881705362,,08/10/2025,,,,472.00,,,08/10/2025
UK702881705369,,08/10/2025,,,,444.00,,,08/10/2025
UK702881705376,,08/10/2025,,,,510.00,,,08/10/2025
UK702881705439,,08/10/2025,,,,486.00,,,08/10/2025
UK702881705467,,08/10/2025,,,,464.00,,,08/10/2025
UK702881705474,,08/10/2025,,,,456.00,,,08/10/2025
UK702881705481,,08/10/2025,,,,490.00,,,08/10/2025
UK702881705488,,08/10/2025,,,,436.00,,,08/10/2025
UK713572100922,,08/10/2025,,,,622.00,,,08/10/2025
UK713572101573,,08/10/2025,,,,584.00,,,08/10/2025
UK713572201567,,08/10/2025,,,,530.00,,,08/10/2025
UK713572300917,,08/10/2025,,,,540.00,,,08/10/2025
UK713572300924,,08/10/2025,,,,572.00,,,08/10/2025
UK713572401555,,08/10/2025,,,,650.00,,,08/10/2025
UK713572500870,,08/10/2025,,,,534.00,,,08/10/2025
UK713572501556,,08/10/2025,,,,582.00,,,08/10/2025
UK713572600899,,08/10/2025,,,,556.00,,,08/10/2025
UK713572700921,,08/10/2025,,,,534.00,,,08/10/2025
UK713572701558,,08/10/2025,,,,570.00,,,08/10/2025
UK713572701572,,08/10/2025,,,,634.00,,,08/10/2025
UK741131701355,,08/10/2025,,,,600.00,,,08/10/2025
